1`HB`1138_bus`1138`1138`4054`yes`1138`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
18`HB`bcspwr06`1454`1454`5300`yes`1454`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
19`HB`bcspwr07`1612`1612`5824`yes`1612`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
20`HB`bcspwr08`1624`1624`6050`yes`1624`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
21`HB`bcspwr09`1723`1723`6511`yes`1723`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
22`HB`bcspwr10`5300`5300`21842`yes`5300`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`B. Dembart, J. Lewis`I. Duff, R. Grimes, J. Lewis`1981`power network problem`
23`HB`bcsstk01`48`48`400`yes`48`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
24`HB`bcsstk02`66`66`4356`yes`66`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
25`HB`bcsstk03`112`112`640`yes`112`2`2`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
26`HB`bcsstk04`132`132`3648`yes`132`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
27`HB`bcsstk05`153`153`2423`yes`153`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
28`HB`bcsstk06`420`420`7860`yes`420`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
29`HB`bcsstk07`420`420`7860`yes`420`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`duplicate structural problem`\nduplicate of HB/bcsstk06\n
30`HB`bcsstk08`1074`1074`12960`yes`1074`4`4`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
31`HB`bcsstk09`1083`1083`18437`yes`1083`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
32`HB`bcsstk10`1086`1086`22070`yes`1086`2`2`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
33`HB`bcsstk11`1473`1473`34241`yes`1473`9`9`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
34`HB`bcsstk12`1473`1473`34241`yes`1473`9`9`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`duplicate structural problem`\nduplicate of HB/bcsstk11\n
35`HB`bcsstk13`2003`2003`83883`yes`2003`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`computational fluid dynamics problem`
36`HB`bcsstk14`1806`1806`63454`yes`1806`41`41`0`symmetric`symmetric`real`symmetric`yes`yes`M. Will`I. Duff, R. Grimes, J. Lewis`1985`structural problem`
37`HB`bcsstk15`3948`3948`117816`yes`3948`7`7`0`symmetric`symmetric`real`symmetric`yes`yes`M. Will`I. Duff, R. Grimes, J. Lewis`1985`structural problem`
38`HB`bcsstk16`4884`4884`290378`yes`4884`75`75`0`symmetric`symmetric`real`symmetric`yes`yes`M. Will`I. Duff, R. Grimes, J. Lewis`1985`structural problem`
39`HB`bcsstk17`10974`10974`428650`yes`10974`519`519`0`symmetric`symmetric`real`symmetric`yes`yes`M. Will`I. Duff, R. Grimes, J. Lewis`1985`structural problem`
40`HB`bcsstk18`11948`11948`149090`yes`11948`792`792`0`symmetric`symmetric`real`symmetric`yes`yes`M. Will`I. Duff, R. Grimes, J. Lewis`1985`structural problem`
41`HB`bcsstk19`817`817`6853`yes`817`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
42`HB`bcsstk20`485`485`3135`yes`485`4`4`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
43`HB`bcsstk21`3600`3600`26600`yes`3600`2`2`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
44`HB`bcsstk22`138`138`696`yes`138`4`4`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
45`HB`bcsstk23`3134`3134`45178`yes`3134`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
46`HB`bcsstk24`3562`3562`159910`yes`3562`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
47`HB`bcsstk25`15439`15439`252241`yes`15439`13`13`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
48`HB`bcsstk26`1922`1922`30336`yes`1922`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`A. Mera, R. Cigel, J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
49`HB`bcsstk27`1224`1224`56126`yes`1224`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`A. Mera, R. Cigel, J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
50`HB`bcsstk28`4410`4410`219024`yes`4410`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`A. Mera, R. Cigel, J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
51`HB`bcsstk29`13992`13992`619488`yes`13992`28`28`0`symmetric`symmetric`binary`symmetric`yes`no`R. Cigel, R. Grimes, J. Lewis, E. Meyer`I. Duff, R. Grimes, J. Lewis`1986`structural problem`
52`HB`bcsstk30`28924`28924`2043492`yes`28924`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`R. Cigel, R. Grimes, J. Lewis, E. Meyer`I. Duff, R. Grimes, J. Lewis`1986`structural problem`
53`HB`bcsstk31`35588`35588`1181416`yes`35588`2`2`0`symmetric`symmetric`binary`symmetric`yes`no`R. Cigel, R. Grimes, J. Lewis, E. Meyer`I. Duff, R. Grimes, J. Lewis`1986`structural problem`
54`HB`bcsstk32`44609`44609`2014701`yes`44609`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`R. Cigel, R. Grimes, J. Lewis, E. Meyer`I. Duff, R. Grimes, J. Lewis`1986`structural problem`
55`HB`bcsstk33`8738`8738`591904`yes`8738`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`R. Cigel, R. Grimes, J. Lewis, E. Meyer`I. Duff, R. Grimes, J. Lewis`1986`structural problem`
56`HB`bcsstm01`48`48`24`no`24`26`48`24`symmetric`symmetric`integer`symmetric`no`no`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
57`HB`bcsstm02`66`66`66`yes`66`66`66`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
58`HB`bcsstm03`112`112`72`no`72`74`112`40`symmetric`symmetric`real`symmetric`no`no`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
59`HB`bcsstm04`132`132`66`no`66`68`132`66`symmetric`symmetric`real`symmetric`no`no`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
60`HB`bcsstm05`153`153`153`yes`153`153`153`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
61`HB`bcsstm06`420`420`420`yes`420`420`420`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
62`HB`bcsstm07`420`420`7252`yes`420`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
63`HB`bcsstm08`1074`1074`1074`yes`1074`1074`1074`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
64`HB`bcsstm09`1083`1083`1083`yes`1083`1083`1083`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
65`HB`bcsstm10`1086`1086`22092`yes`1086`2`2`0`symmetric`symmetric`real`symmetric`yes`no`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
66`HB`bcsstm11`1473`1473`1473`yes`1473`1473`1473`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
67`HB`bcsstm12`1473`1473`19659`yes`1473`10`10`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`structural problem`
68`HB`bcsstm13`2003`2003`21181`no`1241`574`1334`762`symmetric`symmetric`real`symmetric`no`no`J. Lewis`I. Duff, R. Grimes, J. Lewis`1982`computational fluid dynamics problem`
69`HB`bcsstm19`817`817`817`yes`817`817`817`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
70`HB`bcsstm20`485`485`485`yes`485`485`485`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
71`HB`bcsstm21`3600`3600`3600`yes`3600`3600`3600`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
72`HB`bcsstm22`138`138`138`yes`138`138`138`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
73`HB`bcsstm23`3134`3134`3134`yes`3134`3134`3134`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
74`HB`bcsstm24`3562`3562`3562`yes`3562`3562`3562`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
75`HB`bcsstm25`15439`15439`15439`yes`15439`15439`15439`0`symmetric`symmetric`real`symmetric`yes`yes`J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
76`HB`bcsstm26`1922`1922`1922`yes`1922`1922`1922`0`symmetric`symmetric`real`symmetric`yes`yes`A. Mera, R. Cigel, J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
77`HB`bcsstm27`1224`1224`56126`yes`1224`1`1`0`symmetric`symmetric`real`symmetric`yes`no`A. Mera, R. Cigel, J. Lewis`I. Duff, R. Grimes, J. Lewis`1984`structural problem`
78`HB`beacxc`497`506`50409`no`449`10`66`0`0%`0%`real`rectangular`no`no`D. Szyld`I. Duff, R. Grimes, J. Lewis`1982`economic problem`
79`HB`beaflw`497`507`53403`no`460`13`13`0`0%`0%`real`rectangular`no`no`D. Szyld`I. Duff, R. Grimes, J. Lewis`1982`economic problem`
80`HB`beause`497`507`44551`no`459`31`8`0`0%`0%`real`rectangular`no`no`D. Szyld`I. Duff, R. Grimes, J. Lewis`1982`economic problem`
81`HB`blckhole`2132`2132`14872`yes`2132`12`12`0`symmetric`symmetric`binary`symmetric`yes`no`E. Meyer`I. Duff, R. Grimes, J. Lewis`1983`structural problem`
82`HB`bp_0`822`822`3276`yes`822`822`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`optimization problem sequence`\nnext: HB/bp_200 first: HB/bp_0\n
83`HB`bp_1000`822`822`4661`yes`822`463`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_1200 first: HB/bp_0\n
84`HB`bp_1200`822`822`4726`yes`822`447`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_1400 first: HB/bp_0\n
85`HB`bp_1400`822`822`4790`yes`822`403`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_1600 first: HB/bp_0\n
86`HB`bp_1600`822`822`4841`yes`822`450`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: - first: HB/bp_0\n
87`HB`bp_200`822`822`3802`yes`822`673`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_400 first: HB/bp_0\n
88`HB`bp_400`822`822`4028`yes`822`591`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_600 first: HB/bp_0\n
89`HB`bp_600`822`822`4172`yes`822`537`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_800 first: HB/bp_0\n
90`HB`bp_800`822`822`4534`yes`822`492`2`0`1%`0%`real`unsymmetric`no`no`M. Saunders`A. Curtis, I. Duff, J. Reid`1978`subsequent optimization problem`\nnext: HB/bp_1000 first: HB/bp_0\n
91`HB`can_1054`1054`1054`12196`yes`1054`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
92`HB`can_1072`1072`1072`12444`yes`1072`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
93`HB`can_144`144`144`1296`yes`144`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
94`HB`can_161`161`161`1377`yes`161`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
95`HB`can_187`187`187`1491`yes`187`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
96`HB`can_229`229`229`1777`yes`229`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
97`HB`can_24`24`24`160`yes`24`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
98`HB`can_256`256`256`2916`yes`256`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
99`HB`can_268`268`268`3082`yes`268`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
100`HB`can_292`292`292`2540`yes`292`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
101`HB`can_445`445`445`3809`yes`445`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
102`HB`can_61`61`61`557`yes`61`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
103`HB`can_62`62`62`218`yes`62`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
104`HB`can_634`634`634`7228`yes`634`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
105`HB`can_715`715`715`6665`yes`715`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
106`HB`can_73`73`73`377`yes`73`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
107`HB`can_838`838`838`10010`yes`838`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
108`HB`can_96`96`96`768`yes`96`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`L. Marro`I. Duff, R. Grimes, J. Lewis`1981`structural problem`
109`HB`curtis54`54`54`291`yes`54`1`1`0`95%`95%`binary`unsymmetric`no`no`A. Curtis`A. Curtis, I. Duff, J. Reid`1971`2D/3D problem`
110`HB`dwt_1005`1005`1005`8621`yes`1005`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
111`HB`dwt_1007`1007`1007`8575`yes`1007`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
112`HB`dwt_1242`1242`1242`10426`yes`1242`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
113`HB`dwt_162`162`162`1182`yes`162`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
114`HB`dwt_193`193`193`3493`yes`193`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
115`HB`dwt_198`198`198`1392`yes`198`6`6`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
116`HB`dwt_209`209`209`1743`yes`209`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
117`HB`dwt_221`221`221`1629`yes`221`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
118`HB`dwt_234`234`234`834`yes`234`7`7`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
119`HB`dwt_245`245`245`1461`yes`245`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
120`HB`dwt_2680`2680`2680`25026`yes`2680`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
121`HB`dwt_307`307`307`2523`yes`307`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
122`HB`dwt_310`310`310`2448`yes`310`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
123`HB`dwt_346`346`346`3226`yes`346`4`4`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
124`HB`dwt_361`361`361`2953`yes`361`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
125`HB`dwt_419`419`419`3563`yes`419`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
126`HB`dwt_492`492`492`3156`yes`492`2`2`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
127`HB`dwt_503`503`503`6027`yes`503`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
128`HB`dwt_512`512`512`3502`yes`512`32`32`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
129`HB`dwt_59`59`59`267`yes`59`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
130`HB`dwt_592`592`592`5104`yes`592`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
131`HB`dwt_607`607`607`5131`yes`607`4`4`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
132`HB`dwt_66`66`66`320`yes`66`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
133`HB`dwt_72`72`72`222`yes`72`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
134`HB`dwt_758`758`758`5994`yes`758`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
135`HB`dwt_869`869`869`7285`yes`869`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
136`HB`dwt_87`87`87`541`yes`87`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
137`HB`dwt_878`878`878`7448`yes`878`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
138`HB`dwt_918`918`918`7384`yes`918`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
139`HB`dwt_992`992`992`16744`yes`992`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`G. Everstine, D. Taylor`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
140`HB`eris1176`1176`1176`18552`yes`1176`2`2`0`symmetric`symmetric`binary`symmetric`yes`no`A. Erisman`A. Curtis, I. Duff, J. Reid`1973`power network problem`
141`HB`fs_183_1`183`183`998`yes`183`37`37`71`42%`0%`real`unsymmetric`no`no`A. Curtis`I. Duff, R. Grimes, J. Lewis`1983`2D/3D problem sequence`\nnext: HB/fs_183_3 first: HB/fs_183_1\n
142`HB`fs_183_3`183`183`1069`yes`183`30`30`0`42%`0%`real`unsymmetric`no`no`A. Curtis`I. Duff, R. Grimes, J. Lewis`1983`subsequent 2D/3D problem`\nnext: HB/fs_183_4 first: HB/fs_183_1\n
143`HB`fs_183_4`183`183`1069`yes`183`30`30`0`42%`0%`real`unsymmetric`no`no`A. Curtis`I. Duff, R. Grimes, J. Lewis`1983`subsequent 2D/3D problem`\nnext: HB/fs_183_6 first: HB/fs_183_1\n
144`HB`fs_183_6`183`183`1000`yes`183`37`37`69`42%`0%`real`unsymmetric`no`no`A. Curtis`I. Duff, R. Grimes, J. Lewis`1983`subsequent 2D/3D problem`\nnext: - first: HB/fs_183_1\n
145`HB`fs_541_1`541`541`4282`yes`541`2`2`3`68%`0%`real`unsymmetric`no`no`A. Curtis`A. Curtis, I. Duff, J. Reid`1978`2D/3D problem sequence`\nnext: HB/fs_541_2 first: HB/fs_541_1\n
146`HB`fs_541_2`541`541`4282`yes`541`2`2`3`68%`0%`real`unsymmetric`no`no`A. Curtis`A. Curtis, I. Duff, J. Reid`1978`subsequent 2D/3D problem`\nnext: HB/fs_541_3 first: HB/fs_541_1\n
